state_code,state,neighbour_code,neighbour,shares_border
01,Schleswig-Holstein,02,Hamburg,1
01,Schleswig-Holstein,03,Niedersachsen,1
01,Schleswig-Holstein,04,Bremen,0
01,Schleswig-Holstein,05,Nordrhein-Westfalen,0
01,Schleswig-Holstein,06,Hessen,0
01,Schleswig-Holstein,07,Rheinland-Pfalz,0
01,Schleswig-Holstein,08,Baden-Wuerttemberg,0
01,Schleswig-Holstein,09,Bayern,0
01,Schleswig-Holstein,10,Saarland,0
01,Schleswig-Holstein,11,Berlin,0
01,Schleswig-Holstein,12,Brandenburg,0
01,Schleswig-Holstein,13,Mecklenburg-Vorpommern,1
01,Schleswig-Holstein,14,Sachsen,0
01,Schleswig-Holstein,15,Sachsen-Anhalt,0
01,Schleswig-Holstein,16,Thueringen,0
02,Hamburg,01,Schleswig-Holstein,1
02,Hamburg,03,Niedersachsen,1
02,Hamburg,04,Bremen,0
02,Hamburg,05,Nordrhein-Westfalen,0
02,Hamburg,06,Hessen,0
02,Hamburg,07,Rheinland-Pfalz,0
02,Hamburg,08,Baden-Wuerttemberg,0
02,Hamburg,09,Bayern,0
02,Hamburg,10,Saarland,0
02,Hamburg,11,Berlin,0
02,Hamburg,12,Brandenburg,0
02,Hamburg,13,Mecklenburg-Vorpommern,0
02,Hamburg,14,Sachsen,0
02,Hamburg,15,Sachsen-Anhalt,0
02,Hamburg,16,Thueringen,0
03,Niedersachsen,01,Schleswig-Holstein,1
03,Niedersachsen,02,Hamburg,1
03,Niedersachsen,04,Bremen,1
03,Niedersachsen,05,Nordrhein-Westfalen,1
03,Niedersachsen,06,Hessen,1
03,Niedersachsen,07,Rheinland-Pfalz,0
03,Niedersachsen,08,Baden-Wuerttemberg,0
03,Niedersachsen,09,Bayern,0
03,Niedersachsen,10,Saarland,0
03,Niedersachsen,11,Berlin,0
03,Niedersachsen,12,Brandenburg,1
03,Niedersachsen,13,Mecklenburg-Vorpommern,1
03,Niedersachsen,14,Sachsen,0
03,Niedersachsen,15,Sachsen-Anhalt,1
03,Niedersachsen,16,Thueringen,1
04,Bremen,01,Schleswig-Holstein,0
04,Bremen,02,Hamburg,0
04,Bremen,03,Niedersachsen,1
04,Bremen,05,Nordrhein-Westfalen,0
04,Bremen,06,Hessen,0
04,Bremen,07,Rheinland-Pfalz,0
04,Bremen,08,Baden-Wuerttemberg,0
04,Bremen,09,Bayern,0
04,Bremen,10,Saarland,0
04,Bremen,11,Berlin,0
04,Bremen,12,Brandenburg,0
04,Bremen,13,Mecklenburg-Vorpommern,0
04,Bremen,14,Sachsen,0
04,Bremen,15,Sachsen-Anhalt,0
04,Bremen,16,Thueringen,0
05,Nordrhein-Westfalen,01,Schleswig-Holstein,0
05,Nordrhein-Westfalen,02,Hamburg,0
05,Nordrhein-Westfalen,03,Niedersachsen,1
05,Nordrhein-Westfalen,04,Bremen,0
05,Nordrhein-Westfalen,06,Hessen,1
05,Nordrhein-Westfalen,07,Rheinland-Pfalz,1
05,Nordrhein-Westfalen,08,Baden-Wuerttemberg,0
05,Nordrhein-Westfalen,09,Bayern,0
05,Nordrhein-Westfalen,10,Saarland,0
05,Nordrhein-Westfalen,11,Berlin,0
05,Nordrhein-Westfalen,12,Brandenburg,0
05,Nordrhein-Westfalen,13,Mecklenburg-Vorpommern,0
05,Nordrhein-Westfalen,14,Sachsen,0
05,Nordrhein-Westfalen,15,Sachsen-Anhalt,0
05,Nordrhein-Westfalen,16,Thueringen,0
06,Hessen,01,Schleswig-Holstein,0
06,Hessen,02,Hamburg,0
06,Hessen,03,Niedersachsen,1
06,Hessen,04,Bremen,0
06,Hessen,05,Nordrhein-Westfalen,1
06,Hessen,07,Rheinland-Pfalz,1
06,Hessen,08,Baden-Wuerttemberg,1
06,Hessen,09,Bayern,1
06,Hessen,10,Saarland,0
06,Hessen,11,Berlin,0
06,Hessen,12,Brandenburg,0
06,Hessen,13,Mecklenburg-Vorpommern,0
06,Hessen,14,Sachsen,0
06,Hessen,15,Sachsen-Anhalt,0
06,Hessen,16,Thueringen,1
07,Rheinland-Pfalz,01,Schleswig-Holstein,0
07,Rheinland-Pfalz,02,Hamburg,0
07,Rheinland-Pfalz,03,Niedersachsen,0
07,Rheinland-Pfalz,04,Bremen,0
07,Rheinland-Pfalz,05,Nordrhein-Westfalen,1
07,Rheinland-Pfalz,06,Hessen,1
07,Rheinland-Pfalz,08,Baden-Wuerttemberg,1
07,Rheinland-Pfalz,09,Bayern,0
07,Rheinland-Pfalz,10,Saarland,1
07,Rheinland-Pfalz,11,Berlin,0
07,Rheinland-Pfalz,12,Brandenburg,0
07,Rheinland-Pfalz,13,Mecklenburg-Vorpommern,0
07,Rheinland-Pfalz,14,Sachsen,0
07,Rheinland-Pfalz,15,Sachsen-Anhalt,0
07,Rheinland-Pfalz,16,Thueringen,0
08,Baden-Wuerttemberg,01,Schleswig-Holstein,0
08,Baden-Wuerttemberg,02,Hamburg,0
08,Baden-Wuerttemberg,03,Niedersachsen,0
08,Baden-Wuerttemberg,04,Bremen,0
08,Baden-Wuerttemberg,05,Nordrhein-Westfalen,0
08,Baden-Wuerttemberg,06,Hessen,1
08,Baden-Wuerttemberg,07,Rheinland-Pfalz,1
08,Baden-Wuerttemberg,09,Bayern,1
08,Baden-Wuerttemberg,10,Saarland,0
08,Baden-Wuerttemberg,11,Berlin,0
08,Baden-Wuerttemberg,12,Brandenburg,0
08,Baden-Wuerttemberg,13,Mecklenburg-Vorpommern,0
08,Baden-Wuerttemberg,14,Sachsen,0
08,Baden-Wuerttemberg,15,Sachsen-Anhalt,0
08,Baden-Wuerttemberg,16,Thueringen,0
09,Bayern,01,Schleswig-Holstein,0
09,Bayern,02,Hamburg,0
09,Bayern,03,Niedersachsen,0
09,Bayern,04,Bremen,0
09,Bayern,05,Nordrhein-Westfalen,0
09,Bayern,06,Hessen,1
09,Bayern,07,Rheinland-Pfalz,0
09,Bayern,08,Baden-Wuerttemberg,1
09,Bayern,10,Saarland,0
09,Bayern,11,Berlin,0
09,Bayern,12,Brandenburg,0
09,Bayern,13,Mecklenburg-Vorpommern,0
09,Bayern,14,Sachsen,1
09,Bayern,15,Sachsen-Anhalt,0
09,Bayern,16,Thueringen,1
10,Saarland,01,Schleswig-Holstein,0
10,Saarland,02,Hamburg,0
10,Saarland,03,Niedersachsen,0
10,Saarland,04,Bremen,0
10,Saarland,05,Nordrhein-Westfalen,0
10,Saarland,06,Hessen,0
10,Saarland,07,Rheinland-Pfalz,1
10,Saarland,08,Baden-Wuerttemberg,0
10,Saarland,09,Bayern,0
10,Saarland,11,Berlin,0
10,Saarland,12,Brandenburg,0
10,Saarland,13,Mecklenburg-Vorpommern,0
10,Saarland,14,Sachsen,0
10,Saarland,15,Sachsen-Anhalt,0
10,Saarland,16,Thueringen,0
11,Berlin,01,Schleswig-Holstein,0
11,Berlin,02,Hamburg,0
11,Berlin,03,Niedersachsen,0
11,Berlin,04,Bremen,0
11,Berlin,05,Nordrhein-Westfalen,0
11,Berlin,06,Hessen,0
11,Berlin,07,Rheinland-Pfalz,0
11,Berlin,08,Baden-Wuerttemberg,0
11,Berlin,09,Bayern,0
11,Berlin,10,Saarland,0
11,Berlin,12,Brandenburg,1
11,Berlin,13,Mecklenburg-Vorpommern,0
11,Berlin,14,Sachsen,0
11,Berlin,15,Sachsen-Anhalt,0
11,Berlin,16,Thueringen,0
12,Brandenburg,01,Schleswig-Holstein,0
12,Brandenburg,02,Hamburg,0
12,Brandenburg,03,Niedersachsen,1
12,Brandenburg,04,Bremen,0
12,Brandenburg,05,Nordrhein-Westfalen,0
12,Brandenburg,06,Hessen,0
12,Brandenburg,07,Rheinland-Pfalz,0
12,Brandenburg,08,Baden-Wuerttemberg,0
12,Brandenburg,09,Bayern,0
12,Brandenburg,10,Saarland,0
12,Brandenburg,11,Berlin,1
12,Brandenburg,13,Mecklenburg-Vorpommern,1
12,Brandenburg,14,Sachsen,1
12,Brandenburg,15,Sachsen-Anhalt,1
12,Brandenburg,16,Thueringen,0
13,Mecklenburg-Vorpommern,01,Schleswig-Holstein,1
13,Mecklenburg-Vorpommern,02,Hamburg,0
13,Mecklenburg-Vorpommern,03,Niedersachsen,1
13,Mecklenburg-Vorpommern,04,Bremen,0
13,Mecklenburg-Vorpommern,05,Nordrhein-Westfalen,0
13,Mecklenburg-Vorpommern,06,Hessen,0
13,Mecklenburg-Vorpommern,07,Rheinland-Pfalz,0
13,Mecklenburg-Vorpommern,08,Baden-Wuerttemberg,0
13,Mecklenburg-Vorpommern,09,Bayern,0
13,Mecklenburg-Vorpommern,10,Saarland,0
13,Mecklenburg-Vorpommern,11,Berlin,0
13,Mecklenburg-Vorpommern,12,Brandenburg,1
13,Mecklenburg-Vorpommern,14,Sachsen,0
13,Mecklenburg-Vorpommern,15,Sachsen-Anhalt,0
13,Mecklenburg-Vorpommern,16,Thueringen,0
14,Sachsen,01,Schleswig-Holstein,0
14,Sachsen,02,Hamburg,0
14,Sachsen,03,Niedersachsen,0
14,Sachsen,04,Bremen,0
14,Sachsen,05,Nordrhein-Westfalen,0
14,Sachsen,06,Hessen,0
14,Sachsen,07,Rheinland-Pfalz,0
14,Sachsen,08,Baden-Wuerttemberg,0
14,Sachsen,09,Bayern,1
14,Sachsen,10,Saarland,0
14,Sachsen,11,Berlin,0
14,Sachsen,12,Brandenburg,1
14,Sachsen,13,Mecklenburg-Vorpommern,0
14,Sachsen,15,Sachsen-Anhalt,1
14,Sachsen,16,Thueringen,1
15,Sachsen-Anhalt,01,Schleswig-Holstein,0
15,Sachsen-Anhalt,02,Hamburg,0
15,Sachsen-Anhalt,03,Niedersachsen,1
15,Sachsen-Anhalt,04,Bremen,0
15,Sachsen-Anhalt,05,Nordrhein-Westfalen,0
15,Sachsen-Anhalt,06,Hessen,0
15,Sachsen-Anhalt,07,Rheinland-Pfalz,0
15,Sachsen-Anhalt,08,Baden-Wuerttemberg,0
15,Sachsen-Anhalt,09,Bayern,0
15,Sachsen-Anhalt,10,Saarland,0
15,Sachsen-Anhalt,11,Berlin,0
15,Sachsen-Anhalt,12,Brandenburg,1
15,Sachsen-Anhalt,13,Mecklenburg-Vorpommern,0
15,Sachsen-Anhalt,14,Sachsen,1
15,Sachsen-Anhalt,16,Thueringen,1
16,Thueringen,01,Schleswig-Holstein,0
16,Thueringen,02,Hamburg,0
16,Thueringen,03,Niedersachsen,1
16,Thueringen,04,Bremen,0
16,Thueringen,05,Nordrhein-Westfalen,0
16,Thueringen,06,Hessen,1
16,Thueringen,07,Rheinland-Pfalz,0
16,Thueringen,08,Baden-Wuerttemberg,0
16,Thueringen,09,Bayern,1
16,Thueringen,10,Saarland,0
16,Thueringen,11,Berlin,0
16,Thueringen,12,Brandenburg,0
16,Thueringen,13,Mecklenburg-Vorpommern,0
16,Thueringen,14,Sachsen,1
16,Thueringen,15,Sachsen-Anhalt,1
