state,state_code,double_abitur_year,g8_status,source_status
Schleswig-Holstein,01,2016,G8 then partial return to G9,VERIFY
Hamburg,02,2010,G8 at Gymnasium,VERIFY
Niedersachsen,03,2011,G8 then return to G9 from 2015,VERIFY
Bremen,04,2012,G8,VERIFY
Nordrhein-Westfalen,05,2013,G8 then return to G9 from 2019,VERIFY
Hessen,06,2013,G8 then largely return to G9,VERIFY
Rheinland-Pfalz,07,,mostly retained G9; no single double cohort,VERIFY
Baden-Wuerttemberg,08,2012,G8 with G9 pilot schools,VERIFY
Bayern,09,2011,G8 then return to G9 from 2018,VERIFY
Saarland,10,2009,G8 earliest double cohort,VERIFY
Berlin,11,2012,G8 at Gymnasium; Gesamtschulen kept G9,VERIFY
Brandenburg,12,2012,G8,VERIFY
Mecklenburg-Vorpommern,13,2008,G8 early adopter,VERIFY
Sachsen,14,,G8 since GDR era; no double cohort in window,VERIFY
Sachsen-Anhalt,15,2007,G8 since GDR era; reform-related cohort effect,VERIFY
Thueringen,16,,G8 since GDR era; no double cohort in window,VERIFY
