dropped,log_coef,pct,state,role
02,-0.07739060476704221,-7.447173276080266,Hamburg,treated
03,-0.07469090234230283,-7.196970600937435,Niedersachsen,treated
16,-0.06751293201253097,-6.5284367216408405,Thueringen,control
04,-0.06743644021481532,-6.521286640272583,Bremen,control
01,-0.06695424099908992,-6.476200408604327,Schleswig-Holstein,control
13,-0.06592112625756466,-6.37952966517622,Mecklenburg-Vorpommern,control
14,-0.06567997682308321,-6.356950419322327,Sachsen,control
07,-0.0651286768028346,-6.305310771030692,Rheinland-Pfalz,control
15,-0.06389147079574342,-6.1893194008695644,Sachsen-Anhalt,control
06,-0.06372913417559181,-6.174089255875293,Hessen,treated
09,-0.06338149931503004,-6.141466428389175,Bayern,treated
11,-0.061628514053598926,-5.976789506440494,Berlin,control
08,-0.060438083533894814,-5.864794759351777,Baden-Wuerttemberg,treated
12,-0.0596367330311305,-5.789329232173723,Brandenburg,control
10,-0.057961428209832105,-5.6313653593454855,Saarland,treated
05,-0.05667119279072885,-5.50952902260301,Nordrhein-Westfalen,treated
