state,state_code,year,study_location,origin,stayers,unattributed,german_location,net_inflow,net_inflow_incl_foreign,outflow,inflow,first_years_location,ever_treated,intro_year,treated,east,city_state,fee,rel,unattr_share,ni_per1k,ni_incl_per1k
Schleswig-Holstein,01,2003,6849.0,7353,3746,700,6149.0,-1204.0,-504.0,3607,2403.0,6849,0,,0,0,0,never treated,,10.220470141626516,-163.74269005847952,-68.54345165238678
Schleswig-Holstein,01,2004,6656.0,7105,3765,651,6005.0,-1100.0,-449.0,3340,2240.0,6656,0,,0,0,0,never treated,,9.780649038461538,-154.82054890921887,-63.19493314567206
Schleswig-Holstein,01,2005,6853.0,7204,3726,606,6247.0,-957.0,-351.0,3478,2521.0,6853,0,,0,0,0,never treated,,8.842842550707719,-132.84286507495835,-48.72293170460855
Schleswig-Holstein,01,2006,6733.0,7070,3609,568,6165.0,-905.0,-337.0,3461,2556.0,6733,0,,0,0,0,never treated,,8.436061191148077,-128.005657708628,-47.66619519094767
Schleswig-Holstein,01,2007,7386.0,7701,3893,533,6853.0,-848.0,-315.0,3808,2960.0,7386,0,,0,0,0,never treated,,7.216355266720823,-110.11556940657057,-40.90377873003506
Hamburg,02,2003,8824.0,5683,3882,1027,7797.0,2114.0,3141.0,1801,3915.0,8824,1,2007,0,0,1,fee state,-4.0,11.63871260199456,371.9866267816294,552.7010381840577
Hamburg,02,2004,8350.0,5036,3310,1312,7038.0,2002.0,3314.0,1726,3728.0,8350,1,2007,0,0,1,fee state,-3.0,15.7125748502994,397.53772835583794,658.0619539316918
Hamburg,02,2005,8416.0,4952,3033,1403,7013.0,2061.0,3464.0,1919,3980.0,8416,1,2007,0,0,1,fee state,-2.0,16.670627376425855,416.1954765751212,699.5153473344103
Hamburg,02,2006,8602.0,5551,3613,1108,7494.0,1943.0,3051.0,1938,3881.0,8602,1,2007,0,0,1,fee state,-1.0,12.880725412694723,350.0270221581697,549.6306971716808
Hamburg,02,2007,9874.0,6619,4362,1215,8659.0,2040.0,3255.0,2257,4297.0,9874,1,2007,1,0,1,fee state,0.0,12.305043548713794,308.2036561414111,491.76612781386916
Niedersachsen,03,2003,26063.0,25346,15150,3614,22449.0,-2897.0,717.0,10196,7299.0,26063,1,2006,0,0,0,fee state,-3.0,13.86640064459195,-114.29811410084432,28.28848733527973
Niedersachsen,03,2004,23235.0,23555,13233,3364,19871.0,-3684.0,-320.0,10322,6638.0,23235,1,2006,0,0,0,fee state,-2.0,14.478157951366473,-156.3999150923371,-13.585226066652515
Niedersachsen,03,2005,22250.0,23392,12619,3030,19220.0,-4172.0,-1142.0,10773,6601.0,22250,1,2006,0,0,0,fee state,-1.0,13.617977528089888,-178.3515731874145,-48.82010943912449
Niedersachsen,03,2006,21736.0,22544,12464,2744,18992.0,-3552.0,-808.0,10080,6528.0,21736,1,2006,1,0,0,fee state,0.0,12.624217887375782,-157.5585521646558,-35.84102200141945
Niedersachsen,03,2007,23859.0,24537,13519,2760,21099.0,-3438.0,-678.0,11018,7580.0,23859,1,2006,1,0,0,fee state,1.0,11.567961775430655,-140.11492847536374,-27.63173982149407
Bremen,04,2003,5503.0,2966,1804,926,4577.0,1611.0,2537.0,1162,2773.0,5503,0,,0,0,1,never treated,,16.827185171724516,543.1557653405259,855.3607552258935
