state,2003,2004,2005,2006,2007,range,group
Baden-Württemberg,18.6,18.3,17.6,17.4,16.3,2.3,fee state
Bayern,12.9,12.9,12.8,12.6,11.6,1.3,fee state
Berlin,22.6,25.1,25.5,25.5,25.5,2.9,never treated
Brandenburg,17.2,16.7,18.7,17.4,15.1,3.6,never treated
Bremen,16.8,18.1,16.8,17.8,17.4,1.3,never treated
Hamburg,11.6,15.7,16.7,12.9,12.3,5.1,fee state
Hessen,10.8,10.9,10.2,10.3,10.5,0.7,fee state
Mecklenburg-Vorpommern,10.7,10.6,11.0,10.9,10.0,1.0,never treated
Niedersachsen,13.9,14.5,13.6,12.6,11.6,2.9,fee state
Nordrhein-Westfalen,11.8,11.3,10.8,11.4,11.1,1.0,fee state
Rheinland-Pfalz,14.1,14.0,13.1,13.1,12.0,2.1,never treated
Saarland,20.1,21.9,20.9,21.3,20.1,1.8,fee state
Sachsen,12.0,14.2,13.9,15.3,12.9,3.3,never treated
Sachsen-Anhalt,9.5,10.6,10.1,10.4,8.6,2.0,never treated
Schleswig-Holstein,10.2,9.8,8.8,8.4,7.2,3.0,never treated
Thüringen,11.0,9.8,9.0,10.8,10.2,2.0,never treated
