state,state_code,year,study_location,origin,stayers,unattributed,german_location,net_inflow,net_inflow_incl_foreign,outflow,inflow,attraction,retention,ever_treated,intro_year,treated,east,ni_per1k,log_origin,rel
Schleswig-Holstein,01,2003,6849.0,7353,3746,700,6149.0,-1204.0,-504.0,3607,2403.0,-0.17881892624275256,0.509451924384605,0,,0,0,-163.74269005847952,8.902863672196222,
Schleswig-Holstein,01,2004,6656.0,7105,3765,651,6005.0,-1100.0,-449.0,3340,2240.0,-0.16820630601711703,0.52990851513019,0,,0,0,-154.82054890921887,8.868554040531201,
Schleswig-Holstein,01,2005,6853.0,7204,3726,606,6247.0,-957.0,-351.0,3478,2521.0,-0.14253507880227678,0.5172126596335369,0,,0,0,-132.84286507495835,8.882391706295847,
Schleswig-Holstein,01,2006,6733.0,7070,3609,568,6165.0,-905.0,-337.0,3461,2556.0,-0.1369723432921738,0.5104667609618104,0,,0,0,-128.005657708628,8.863615758890619,
Schleswig-Holstein,01,2007,7386.0,7701,3893,533,6853.0,-848.0,-315.0,3808,2960.0,-0.11666367795342636,0.5055187637969095,0,,0,0,-110.11556940657057,8.94910546953925,
Hamburg,02,2003,8824.0,5683,3882,1027,7797.0,2114.0,3141.0,1801,3915.0,0.31625978201247845,0.6830899172972021,1,2007,0,0,371.9866267816294,8.645234541297121,-4.0
Hamburg,02,2004,8350.0,5036,3310,1312,7038.0,2002.0,3314.0,1726,3728.0,0.3347119227172926,0.6572676727561557,1,2007,0,0,397.53772835583794,8.524367395164237,-3.0
Hamburg,02,2005,8416.0,4952,3033,1403,7013.0,2061.0,3464.0,1919,3980.0,0.34797403417247846,0.6124798061389337,1,2007,0,0,416.1954765751212,8.507546814364431,-2.0
Hamburg,02,2006,8602.0,5551,3613,1108,7494.0,1943.0,3051.0,1938,3881.0,0.3001246086634713,0.6508737164474869,1,2007,0,0,350.0270221581697,8.621733370690162,-1.0
Hamburg,02,2007,9874.0,6619,4362,1215,8659.0,2040.0,3255.0,2257,4297.0,0.26865494132887835,0.6590119353376643,1,2007,1,0,308.2036561414111,8.797699580118923,0.0
Niedersachsen,03,2003,26063.0,25346,15150,3614,22449.0,-2897.0,717.0,10196,7299.0,-0.1213748568935413,0.5977274520634419,1,2006,0,0,-114.29811410084432,10.14037620564201,-3.0
Niedersachsen,03,2004,23235.0,23555,13233,3364,19871.0,-3684.0,-320.0,10322,6638.0,-0.1700767297283252,0.5617915516875398,1,2006,0,0,-156.3999150923371,10.067093391134142,-2.0
Niedersachsen,03,2005,22250.0,23392,12619,3030,19220.0,-4172.0,-1142.0,10773,6601.0,-0.19644268002522153,0.5394579343365253,1,2006,0,0,-178.3515731874145,10.060149362549504,-1.0
Niedersachsen,03,2006,21736.0,22544,12464,2744,18992.0,-3552.0,-808.0,10080,6528.0,-0.17145111728901213,0.552874378992193,1,2006,1,0,-157.5585521646558,10.023224234138462,0.0
Niedersachsen,03,2007,23859.0,24537,13519,2760,21099.0,-3438.0,-678.0,11018,7580.0,-0.1509565364269559,0.5509638505114725,1,2006,1,0,-140.11492847536374,10.107937461403084,1.0
Bremen,04,2003,5503.0,2966,1804,926,4577.0,1611.0,2537.0,1162,2773.0,0.43382951795576463,0.6082265677680377,0,,0,0,543.1557653405259,7.994969522697877,
Bremen,04,2004,5429.0,2575,1600,984,4445.0,1870.0,2854.0,975,2845.0,0.5459303348501684,0.6213592233009708,0,,0,0,726.2135922330098,7.853604813097837,
Bremen,04,2005,5129.0,2522,1567,861,4268.0,1746.0,2607.0,955,2701.0,0.5260930958967791,0.6213322759714512,0,,0,0,692.3076923076923,7.8328075165248645,
Bremen,04,2006,4779.0,2531,1483,852,3927.0,1396.0,2248.0,1048,2444.0,0.43926129403288555,0.5859344132753852,0,,0,0,551.5606479652312,7.836369760545124,
Bremen,04,2007,5377.0,2615,1613,935,4442.0,1827.0,2762.0,1002,2829.0,0.5298406279553495,0.6168260038240918,0,,0,0,698.6615678776291,7.869019376499023,
Nordrhein-Westfalen,05,2003,68009.0,60641,50212,8005,60004.0,-637.0,7368.0,10429,9792.0,-0.010560005296672618,0.8280206460975248,1,2006,0,0,-10.50444418792566,11.012726510945454,-3.0
