origin,destination,first_years,year,o,d,o_charging,o_ever,d_charging,d_ever,shares_border,bucket
Bayern,Berlin,343,2003,09,11,0,1,0,0,0,"never-fee, distant"
Bayern,Brandenburg,81,2003,09,12,0,1,0,0,0,"never-fee, distant"
Bayern,Bremen,68,2003,09,04,0,1,0,0,0,"never-fee, distant"
Bayern,Hamburg,162,2003,09,02,0,1,0,1,0,fee state (eventually)
Bayern,Hessen,867,2003,09,06,0,1,0,1,1,fee state (eventually)
Bayern,Mecklenburg-Vorpommern,58,2003,09,13,0,1,0,0,0,"never-fee, distant"
Bayern,Niedersachsen,259,2003,09,03,0,1,0,1,0,fee state (eventually)
Bayern,Nordrhein-Westfalen,909,2003,09,05,0,1,0,1,0,fee state (eventually)
Bayern,Rheinland-Pfalz,283,2003,09,07,0,1,0,0,0,"never-fee, distant"
Bayern,Saarland,44,2003,09,10,0,1,0,1,0,fee state (eventually)
Bayern,Sachsen,460,2003,09,14,0,1,0,0,1,"never-fee, bordering"
Bayern,Sachsen-Anhalt,172,2003,09,15,0,1,0,0,0,"never-fee, distant"
Bayern,Schleswig-Holstein,76,2003,09,01,0,1,0,0,0,"never-fee, distant"
Berlin,Bayern,196,2003,11,09,0,0,0,1,0,fee state (eventually)
Berlin,Brandenburg,1770,2003,11,12,0,0,0,0,1,"never-fee, bordering"
Berlin,Bremen,47,2003,11,04,0,0,0,0,0,"never-fee, distant"
Berlin,Hamburg,99,2003,11,02,0,0,0,1,0,fee state (eventually)
Berlin,Hessen,220,2003,11,06,0,0,0,1,0,fee state (eventually)
Berlin,Mecklenburg-Vorpommern,338,2003,11,13,0,0,0,0,0,"never-fee, distant"
Berlin,Niedersachsen,185,2003,11,03,0,0,0,1,0,fee state (eventually)
Berlin,Nordrhein-Westfalen,361,2003,11,05,0,0,0,1,0,fee state (eventually)
Berlin,Rheinland-Pfalz,60,2003,11,07,0,0,0,0,0,"never-fee, distant"
Berlin,Saarland,13,2003,11,10,0,0,0,1,0,fee state (eventually)
Berlin,Sachsen,324,2003,11,14,0,0,0,0,0,"never-fee, distant"
Berlin,Sachsen-Anhalt,297,2003,11,15,0,0,0,0,0,"never-fee, distant"
Berlin,Schleswig-Holstein,71,2003,11,01,0,0,0,0,0,"never-fee, distant"
Brandenburg,Bayern,232,2003,12,09,0,0,0,1,0,fee state (eventually)
Brandenburg,Berlin,2081,2003,12,11,0,0,0,0,1,"never-fee, bordering"
Brandenburg,Bremen,52,2003,12,04,0,0,0,0,0,"never-fee, distant"
Brandenburg,Hamburg,156,2003,12,02,0,0,0,1,0,fee state (eventually)
Brandenburg,Hessen,190,2003,12,06,0,0,0,1,0,fee state (eventually)
Brandenburg,Mecklenburg-Vorpommern,554,2003,12,13,0,0,0,0,1,"never-fee, bordering"
Brandenburg,Niedersachsen,312,2003,12,03,0,0,0,1,1,fee state (eventually)
Brandenburg,Nordrhein-Westfalen,289,2003,12,05,0,0,0,1,0,fee state (eventually)
Brandenburg,Rheinland-Pfalz,55,2003,12,07,0,0,0,0,0,"never-fee, distant"
Brandenburg,Saarland,18,2003,12,10,0,0,0,1,0,fee state (eventually)
Brandenburg,Sachsen,1153,2003,12,14,0,0,0,0,1,"never-fee, bordering"
Brandenburg,Sachsen-Anhalt,512,2003,12,15,0,0,0,0,1,"never-fee, bordering"
Brandenburg,Schleswig-Holstein,94,2003,12,01,0,0,0,0,0,"never-fee, distant"
Bremen,Bayern,43,2003,04,09,0,0,0,1,0,fee state (eventually)
Bremen,Berlin,67,2003,04,11,0,0,0,0,0,"never-fee, distant"
Bremen,Brandenburg,8,2003,04,12,0,0,0,0,0,"never-fee, distant"
Bremen,Hamburg,80,2003,04,02,0,0,0,1,0,fee state (eventually)
Bremen,Hessen,55,2003,04,06,0,0,0,1,0,fee state (eventually)
Bremen,Mecklenburg-Vorpommern,22,2003,04,13,0,0,0,0,0,"never-fee, distant"
Bremen,Niedersachsen,459,2003,04,03,0,0,0,1,1,fee state (eventually)
Bremen,Nordrhein-Westfalen,181,2003,04,05,0,0,0,1,0,fee state (eventually)
Bremen,Rheinland-Pfalz,16,2003,04,07,0,0,0,0,0,"never-fee, distant"
Bremen,Saarland,7,2003,04,10,0,0,0,1,0,fee state (eventually)
Bremen,Sachsen,28,2003,04,14,0,0,0,0,0,"never-fee, distant"
Bremen,Sachsen-Anhalt,18,2003,04,15,0,0,0,0,0,"never-fee, distant"
Bremen,Schleswig-Holstein,81,2003,04,01,0,0,0,0,0,"never-fee, distant"
Hamburg,Bayern,101,2003,02,09,0,1,0,1,0,fee state (eventually)
Hamburg,Berlin,103,2003,02,11,0,1,0,0,0,"never-fee, distant"
Hamburg,Brandenburg,29,2003,02,12,0,1,0,0,0,"never-fee, distant"
Hamburg,Bremen,97,2003,02,04,0,1,0,0,0,"never-fee, distant"
Hamburg,Hessen,85,2003,02,06,0,1,0,1,0,fee state (eventually)
Hamburg,Mecklenburg-Vorpommern,72,2003,02,13,0,1,0,0,0,"never-fee, distant"
Hamburg,Niedersachsen,451,2003,02,03,0,1,0,1,1,fee state (eventually)
Hamburg,Nordrhein-Westfalen,225,2003,02,05,0,1,0,1,0,fee state (eventually)
Hamburg,Rheinland-Pfalz,21,2003,02,07,0,1,0,0,0,"never-fee, distant"
Hamburg,Saarland,6,2003,02,10,0,1,0,1,0,fee state (eventually)
Hamburg,Sachsen,41,2003,02,14,0,1,0,0,0,"never-fee, distant"
Hamburg,Sachsen-Anhalt,39,2003,02,15,0,1,0,0,0,"never-fee, distant"
Hamburg,Schleswig-Holstein,401,2003,02,01,0,1,0,0,1,"never-fee, bordering"
Hessen,Bayern,810,2003,06,09,0,1,0,1,1,fee state (eventually)
Hessen,Berlin,215,2003,06,11,0,1,0,0,0,"never-fee, distant"
Hessen,Brandenburg,77,2003,06,12,0,1,0,0,0,"never-fee, distant"
Hessen,Bremen,63,2003,06,04,0,1,0,0,0,"never-fee, distant"
Hessen,Hamburg,127,2003,06,02,0,1,0,1,0,fee state (eventually)
Hessen,Mecklenburg-Vorpommern,50,2003,06,13,0,1,0,0,0,"never-fee, distant"
Hessen,Niedersachsen,647,2003,06,03,0,1,0,1,1,fee state (eventually)
