dropped,role,log_origin,attraction,retention
Schleswig-Holstein,control,-0.02997168269670593,-0.03792334566228752,-0.0067097730554135405
Hamburg,treated,-0.044131619506376736,-0.03390943170376928,-0.007572785870791929
Niedersachsen,treated,-0.031055913105884406,-0.04936702087584256,-0.012887461760263562
Bremen,control,-0.03386790349061111,-0.03622450495964823,-0.004817144473498341
Nordrhein-Westfalen,treated,-0.02459836666607288,-0.03138168260893467,-0.0037665152745335784
Hessen,treated,-0.026042314209285773,-0.03727948683100046,-0.004394610600979821
Rheinland-Pfalz,control,-0.027943286532832498,-0.03845117423322105,-0.0031930801957563396
Baden-Wuerttemberg,treated,-0.027531166114863788,-0.03448280826759398,-0.0037726295334269888
Bayern,treated,-0.026780618827548293,-0.03777320209187213,-0.005707145853803975
Saarland,treated,-0.025805582281007662,-0.033840004132230456,-0.004694806661140436
Berlin,control,-0.024313473734680652,-0.03975483120334438,-0.007593390295994051
Brandenburg,control,-0.03077072045018296,-0.027787562509855496,-0.004973199366313915
Mecklenburg-Vorpommern,control,-0.031410923906252525,-0.03596423117642738,-0.007027494103421871
Sachsen,control,-0.03236685130900985,-0.034019905251334144,-0.0056346931585372385
Sachsen-Anhalt,control,-0.0167244976857263,-0.04790024037018438,-0.00927496278113945
Thueringen,control,-0.03794905451339134,-0.03256093606789256,-0.005061873804046118
